age,city,color,country,customer-id,customer-name,discount-applied,gender,payment-method,previous-purchaser,product,product-category,promo-code,quantity,purchase-frequency,reason,review-rate,sales-price,season,shipping-mode,size,status,unit-price
18,Hamburg,N/A,Germany,Cust3137,Sarah Brown,10,Male,Apple Pay,Yes,Mango,Fruits,39161,4,Monthly,"",5,139,Spring,Shipped From Abroad,Medium,Delivered,38.69
18,Hamburg,Red,Germany,Cust1151,Michael Brown,15,Female,Google Pay,No,Apple,Fruits,43514,2,Yearly,Quality Issue,5,13,Summer,Express,Medium,Returned,7.61
18,Hamburg,White,Germany,Cust6276,Daniel Anderson,0,Female,Google Pay,Yes,Biscuits,Snacks,40089,7,Monthly,Late Delivery,1,110,Winter,Shipped From Abroad,Small,Returned,15.71
18,Hamburg,Yellow,Germany,Cust3478,Olivia Jackson,10,Female,Credit Card,Yes,Bread,Bakery,86000,1,Yearly,"",4,23,Spring,Shipped From Abroad,Medium,Delivered,25.42
18,Houston,Brown,USA,Cust1619,Michael Jackson,0,Male,Debit Card,No,Grapes,Fruits,30123,10,Yearly,Quality Issue,3,364,Summer,Standard,Large,Returned,36.44
18,Houston,Green,USA,Cust5079,David Smith,20,Male,Cash,Yes,Potato,Vegetables,92448,3,Monthly,"",1,101,Winter,Shipped From Abroad,Large,Delivered,42.23
18,Houston,White,USA,Cust1921,Daniel Johnson,5,Female,Cash,Yes,Cheese,Dairy,64981,5,Yearly,Wrong Item,4,176,Spring,Shipped From Abroad,Large,Returned,36.96
18,Houston,Yellow,USA,Cust4736,Sarah Smith,0,Female,Credit Card,No,Spinach,Vegetables,20360,7,Yearly,Wrong Item,4,87,Autumn,Express,Large,Returned,12.38
18,Houston,Yellow,USA,Cust5887,Michael Taylor,0,Female,Apple Pay,Yes,Tea,Beverages,67047,9,Yearly,Changed Mind,1,203,Summer,Shipped From Abroad,Large,Returned,22.61
18,Houston,Yellow,USA,Cust6274,Daniel Brown,0,Female,Google Pay,No,Milk,Dairy,91907,5,Yearly,"",1,207,Autumn,Express,Small,Delivered,41.46
18,Liverpool,Brown,UK,Cust2668,Sarah Taylor,10,Male,PayPal,No,Juice,Beverages,57961,8,Quarterly,Changed Mind,3,243,Winter,Shipped From Abroad,Medium,Returned,33.77
18,Liverpool,Brown,UK,Cust3094,David Anderson,15,Female,Google Pay,No,Grapes,Fruits,86272,7,Yearly,Changed Mind,4,244,Autumn,Standard,Large,Returned,41.03
18,Liverpool,Brown,UK,Cust6132,Olivia Johnson,10,Female,Cash,No,Muffin,Bakery,86421,10,Monthly,Wrong Item,3,293,Spring,Standard,Medium,Returned,32.52
18,Liverpool,N/A,UK,Cust2477,Sarah Jackson,5,Female,Bank Transfer,No,Cake,Bakery,78558,7,Quarterly,"",1,122,Autumn,Shipped From Abroad,Medium,Delivered,18.42
18,Liverpool,N/A,UK,Cust3359,Emma Johnson,15,Female,Bank Transfer,Yes,Potato,Vegetables,68645,3,Monthly,Changed Mind,3,101,Autumn,Standard,Small,Returned,39.5
18,Liverpool,Red,UK,Cust1589,Mary Taylor,0,Male,Google Pay,No,Cheese,Dairy,78242,2,Monthly,"",3,29,Summer,Standard,Medium,Delivered,14.58
18,Liverpool,Red,UK,Cust2642,Olivia Johnson,0,Female,Bank Transfer,No,Butter,Dairy,23534,2,Monthly,Late Delivery,3,40,Spring,Express,Medium,Returned,20.22
18,Liverpool,White,UK,Cust5572,Olivia Jackson,10,Female,Apple Pay,Yes,Potato,Vegetables,10382,5,Quarterly,"",3,150,Winter,Shipped From Abroad,Large,Delivered,33.25
18,London,Brown,UK,Cust1117,David Thomas,10,Female,Bank Transfer,No,Spinach,Vegetables,42059,8,Weekly,"",5,130,Summer,Express,Large,Delivered,18.08
18,London,Brown,UK,Cust5015,John Taylor,0,Female,PayPal,Yes,Butter,Dairy,96466,6,Monthly,Wrong Item,1,130,Winter,Standard,Medium,Returned,21.71
18,London,Green,UK,Cust3942,Daniel Brown,5,Female,Cash,Yes,Chicken,Meat,71554,7,Quarterly,"",5,128,Winter,Shipped From Abroad,Large,Delivered,19.27
18,London,N/A,UK,Cust5647,David Thomas,15,Female,Debit Card,No,Milk,Dairy,44021,1,Yearly,Late Delivery,1,7,Winter,Shipped From Abroad,Large,Returned,7.92
18,London,Red,UK,Cust1649,Olivia Jackson,20,Male,Debit Card,Yes,Fish,Meat,11788,2,Monthly,Quality Issue,3,43,Spring,Express,Large,Returned,26.66
18,London,White,UK,Cust2156,Michael Taylor,15,Female,PayPal,No,Carrot,Vegetables,33350,7,Weekly,Late Delivery,4,290,Autumn,Shipped From Abroad,Small,Returned,48.74
18,London,White,UK,Cust3149,Michael Anderson,5,Female,Debit Card,No,Onion,Vegetables,20506,9,Yearly,"",2,225,Winter,Express,Medium,Delivered,26.37
18,Los Angeles,Green,USA,Cust1889,John Anderson,15,Male,Google Pay,Yes,Bread,Bakery,94099,10,Yearly,"",2,162,Winter,Express,Small,Delivered,19.05
18,Los Angeles,N/A,USA,Cust3181,Daniel Smith,10,Female,Credit Card,No,Chicken,Meat,10245,9,Yearly,"",5,121,Autumn,Standard,Large,Delivered,14.98
18,Los Angeles,White,USA,Cust1021,Sarah Taylor,15,Female,Google Pay,Yes,Pork,Meat,45236,9,Weekly,Late Delivery,3,83,Spring,Express,Small,Returned,10.79
18,Los Angeles,Yellow,USA,Cust1082,Michael Jackson,5,Female,Cash,No,Chocolate,Snacks,37714,6,Monthly,Late Delivery,2,67,Winter,Standard,Medium,Returned,11.71
18,Los Angeles,Yellow,USA,Cust1317,Daniel Brown,20,Female,Google Pay,No,Banana,Fruits,55839,8,Monthly,"",1,166,Summer,Standard,Small,Delivered,25.87
18,Los Angeles,Yellow,USA,Cust5481,Michael Taylor,5,Female,Credit Card,Yes,Cheese,Dairy,80571,2,Yearly,Damaged Product,1,43,Winter,Express,Large,Returned,22.45
18,Manchester,Brown,UK,Cust3107,Sarah Jackson,0,Female,Apple Pay,Yes,Orange,Fruits,77863,9,Weekly,"",4,441,Autumn,Express,Large,Delivered,49.02
18,Manchester,Green,UK,Cust2269,Michael Anderson,15,Female,Debit Card,Yes,Beef,Meat,65353,1,Monthly,"",4,31,Winter,Standard,Small,Delivered,36.77
18,Manchester,N/A,UK,Cust2985,Emma Taylor,0,Female,Bank Transfer,Yes,Chips,Snacks,68905,9,Yearly,"",5,106,Summer,Shipped From Abroad,Small,Delivered,11.8
18,Manchester,N/A,UK,Cust4225,Michael Johnson,15,Female,Google Pay,No,Orange,Fruits,38827,8,Monthly,Damaged Product,3,234,Spring,Shipped From Abroad,Large,Returned,34.37
18,Manchester,N/A,UK,Cust5373,Daniel Jackson,5,Female,Apple Pay,Yes,Tea,Beverages,38029,6,Monthly,Quality Issue,4,204,Autumn,Shipped From Abroad,Medium,Returned,35.74
18,Manchester,White,UK,Cust6251,Daniel Thomas,10,Female,Cash,No,Tomato,Vegetables,84219,7,Weekly,Wrong Item,5,114,Summer,Standard,Small,Returned,18.11
18,Manchester,Yellow,UK,Cust3715,David Jackson,15,Male,Bank Transfer,No,Potato,Vegetables,86986,9,Yearly,Changed Mind,4,255,Summer,Shipped From Abroad,Large,Returned,33.37
18,Melbourne,Brown,Australia,Cust4113,David Johnson,15,Female,Credit Card,Yes,Tea,Beverages,27343,10,Yearly,Late Delivery,2,346,Spring,Shipped From Abroad,Small,Returned,40.71
18,Melbourne,Green,Australia,Cust6459,Emma Thomas,10,Male,Apple Pay,No,Butter,Dairy,85156,1,Weekly,"",5,28,Winter,Express,Large,Delivered,30.91
18,Melbourne,N/A,Australia,Cust5915,Emma Smith,15,Male,Bank Transfer,Yes,Pork,Meat,76868,10,Yearly,"",4,49,Winter,Shipped From Abroad,Large,Delivered,5.77
18,Melbourne,White,Australia,Cust6277,Emma Jackson,10,Female,Cash,Yes,Yogurt,Dairy,41338,6,Weekly,"",2,183,Autumn,Shipped From Abroad,Medium,Delivered,33.96
18,Melbourne,Yellow,Australia,Cust2441,John Jackson,15,Male,Credit Card,Yes,Cake,Bakery,56106,7,Monthly,"",4,231,Spring,Express,Large,Delivered,38.84
18,Montreal,Green,Canada,Cust1111,Mary Jackson,5,Female,Credit Card,Yes,Onion,Vegetables,67759,10,Yearly,"",5,310,Autumn,Standard,Small,Delivered,32.58
18,Montreal,Green,Canada,Cust1499,Mary Smith,0,Female,Cash,Yes,Tea,Beverages,92166,10,Yearly,Wrong Item,4,394,Summer,Express,Small,Returned,39.36
18,Montreal,Green,Canada,Cust2274,Daniel Smith,0,Male,Bank Transfer,No,Tea,Beverages,68907,5,Quarterly,"",1,144,Spring,Standard,Small,Delivered,28.76
18,Montreal,Green,Canada,Cust2625,Daniel Jackson,0,Male,Google Pay,No,Beef,Meat,79412,5,Quarterly,"",3,144,Autumn,Shipped From Abroad,Small,Delivered,28.89
18,Montreal,Green,Canada,Cust4945,Michael Brown,10,Male,Google Pay,No,Mango,Fruits,45856,6,Yearly,"",3,232,Summer,Shipped From Abroad,Large,Delivered,43.05
18,Montreal,N/A,Canada,Cust2178,Michael Taylor,20,Male,Credit Card,No,Cake,Bakery,29476,9,Quarterly,"",2,197,Winter,Express,Small,Delivered,27.43
18,Montreal,Red,Canada,Cust2433,Sarah Taylor,20,Female,Cash,Yes,Muffin,Bakery,97118,8,Monthly,"",4,105,Summer,Standard,Small,Delivered,16.45
18,Montreal,Red,Canada,Cust5206,Sarah Smith,0,Male,Debit Card,Yes,Muffin,Bakery,21220,3,Monthly,"",3,90,Winter,Express,Small,Delivered,30.09
18,Montreal,Red,Canada,Cust6308,Emma Anderson,0,Male,Debit Card,Yes,Nuts,Snacks,47392,8,Quarterly,"",3,207,Autumn,Express,Medium,Delivered,25.83
18,Montreal,White,Canada,Cust4704,John Jackson,5,Male,Bank Transfer,Yes,Apple,Fruits,11879,2,Monthly,Wrong Item,1,83,Spring,Standard,Medium,Returned,43.85
18,Montreal,Yellow,Canada,Cust5878,Olivia Johnson,20,Female,Bank Transfer,Yes,Chocolate,Snacks,24994,5,Quarterly,Late Delivery,1,179,Summer,Express,Medium,Returned,44.66
18,Munich,Green,Germany,Cust2484,Sarah Johnson,10,Female,Google Pay,Yes,Butter,Dairy,86574,7,Monthly,"",5,312,Autumn,Shipped From Abroad,Medium,Delivered,49.52
18,Munich,Green,Germany,Cust2723,Emma Taylor,5,Male,Cash,Yes,Potato,Vegetables,57997,9,Weekly,Damaged Product,4,256,Winter,Shipped From Abroad,Medium,Returned,29.98
18,Munich,Green,Germany,Cust6162,Olivia Johnson,5,Male,Apple Pay,Yes,Banana,Fruits,93080,8,Yearly,Changed Mind,2,186,Winter,Standard,Large,Returned,24.51
18,Munich,N/A,Germany,Cust2714,David Thomas,5,Female,PayPal,Yes,Chips,Snacks,94396,7,Weekly,Quality Issue,2,36,Winter,Express,Large,Returned,5.39
18,Munich,Red,Germany,Cust4617,John Taylor,10,Female,PayPal,No,Pork,Meat,43994,9,Yearly,"",3,208,Summer,Shipped From Abroad,Large,Delivered,25.67
18,Munich,Yellow,Germany,Cust1754,Sarah Johnson,20,Female,Credit Card,Yes,Carrot,Vegetables,14707,5,Monthly,Damaged Product,2,76,Summer,Standard,Small,Returned,18.93
18,Munich,Yellow,Germany,Cust2801,Daniel Jackson,0,Male,Google Pay,Yes,Biscuits,Snacks,97601,1,Weekly,Damaged Product,3,24,Winter,Express,Medium,Returned,24.2
18,Munich,Yellow,Germany,Cust5120,Sarah Taylor,0,Male,Bank Transfer,No,Pork,Meat,23272,6,Weekly,"",3,124,Winter,Express,Large,Delivered,20.7
18,New York,Brown,USA,Cust4776,Daniel Thomas,0,Male,Bank Transfer,Yes,Biscuits,Snacks,82539,7,Quarterly,"",5,293,Spring,Express,Large,Delivered,41.85
18,New York,Brown,USA,Cust4800,David Smith,20,Male,Apple Pay,No,Chocolate,Snacks,71358,8,Yearly,"",3,310,Autumn,Express,Medium,Delivered,48.36
18,New York,N/A,USA,Cust5895,Michael Anderson,15,Female,Debit Card,Yes,Nuts,Snacks,75861,9,Weekly,Damaged Product,3,319,Winter,Express,Large,Returned,41.75
18,New York,Red,USA,Cust2052,Mary Thomas,0,Male,Bank Transfer,No,Soda,Beverages,87359,4,Monthly,"",5,127,Summer,Standard,Medium,Delivered,31.65
18,New York,Yellow,USA,Cust3693,Olivia Taylor,10,Male,Apple Pay,Yes,Chocolate,Snacks,79053,8,Quarterly,"",1,285,Autumn,Express,Large,Delivered,39.55
18,Sydney,Brown,Australia,Cust1711,Olivia Johnson,10,Male,Apple Pay,No,Cheese,Dairy,25405,4,Weekly,"",2,65,Summer,Standard,Large,Delivered,17.96
18,Sydney,Brown,Australia,Cust5505,Mary Johnson,5,Female,Cash,Yes,Orange,Fruits,13731,9,Monthly,Damaged Product,3,309,Summer,Standard,Large,Returned,36.1
18,Sydney,Green,Australia,Cust4875,John Smith,0,Female,Debit Card,No,Chips,Snacks,78151,1,Monthly,Quality Issue,5,45,Spring,Shipped From Abroad,Large,Returned,45.26
18,Sydney,N/A,Australia,Cust2301,John Jackson,5,Female,Debit Card,Yes,Tea,Beverages,22190,6,Monthly,Damaged Product,2,50,Spring,Standard,Small,Returned,8.69
18,Sydney,White,Australia,Cust3279,Mary Brown,15,Male,Bank Transfer,No,Onion,Vegetables,90313,9,Monthly,Changed Mind,4,133,Autumn,Standard,Large,Returned,17.33
18,Toronto,Brown,Canada,Cust5654,Michael Anderson,15,Female,Debit Card,No,Muffin,Bakery,55390,7,Yearly,Wrong Item,3,100,Winter,Standard,Small,Returned,16.73
18,Toronto,N/A,Canada,Cust1197,Olivia Thomas,20,Female,Credit Card,No,Soda,Beverages,61522,2,Weekly,"",4,64,Winter,Shipped From Abroad,Medium,Delivered,40.22
18,Toronto,N/A,Canada,Cust1367,Daniel Jackson,20,Male,PayPal,Yes,Grapes,Fruits,10610,6,Yearly,Quality Issue,3,180,Winter,Express,Large,Returned,37.49
18,Toronto,Red,Canada,Cust5138,Emma Johnson,10,Female,Bank Transfer,No,Nuts,Snacks,35547,5,Weekly,"",3,112,Spring,Standard,Large,Delivered,24.87
18,Toronto,Yellow,Canada,Cust4303,Olivia Taylor,20,Male,Debit Card,Yes,Mango,Fruits,33003,7,Weekly,Late Delivery,3,234,Spring,Standard,Large,Returned,41.85
18,Toronto,Yellow,Canada,Cust4888,Michael Brown,0,Male,Apple Pay,Yes,Onion,Vegetables,43735,5,Monthly,"",3,82,Autumn,Shipped From Abroad,Small,Delivered,16.44
18,Toronto,Yellow,Canada,Cust5710,David Jackson,0,Male,Cash,No,Coffee,Beverages,50275,9,Yearly,Damaged Product,3,199,Winter,Express,Medium,Returned,22.15
18,Vancouver,N/A,Canada,Cust4326,Olivia Anderson,5,Female,Credit Card,Yes,Biscuits,Snacks,42452,8,Yearly,"",5,87,Winter,Standard,Small,Delivered,11.39
18,Vancouver,White,Canada,Cust3522,Sarah Jackson,0,Female,Credit Card,No,Bread,Bakery,25310,3,Monthly,Quality Issue,3,109,Summer,Express,Large,Returned,36.34
18,Vancouver,Yellow,Canada,Cust4400,Olivia Johnson,5,Female,Google Pay,No,Biscuits,Snacks,50988,5,Yearly,Late Delivery,3,196,Winter,Shipped From Abroad,Large,Returned,41.19
19,Berlin,Brown,Germany,Cust2088,Mary Jackson,15,Male,Debit Card,No,Chips,Snacks,83152,10,Yearly,Quality Issue,3,175,Summer,Shipped From Abroad,Large,Returned,20.64
19,Berlin,Brown,Germany,Cust3606,Daniel Smith,10,Male,Debit Card,No,Juice,Beverages,91936,3,Weekly,Damaged Product,3,90,Spring,Express,Small,Returned,33.2
19,Berlin,Brown,Germany,Cust4686,John Johnson,0,Male,Cash,No,Tea,Beverages,93330,4,Yearly,"",1,130,Winter,Shipped From Abroad,Medium,Delivered,32.62
19,Berlin,Red,Germany,Cust1630,Daniel Brown,0,Female,Debit Card,No,Fish,Meat,43055,2,Monthly,"",1,58,Winter,Standard,Medium,Delivered,28.76
19,Berlin,Red,Germany,Cust5216,Daniel Thomas,0,Male,Credit Card,No,Chocolate,Snacks,99207,8,Weekly,"",1,194,Winter,Express,Small,Delivered,24.29
19,Brisbane,Brown,Australia,Cust2072,John Jackson,0,Male,Google Pay,No,Coffee,Beverages,21179,8,Quarterly,Late Delivery,1,326,Winter,Express,Small,Returned,40.69
19,Brisbane,Brown,Australia,Cust4749,Emma Taylor,0,Female,Google Pay,Yes,Milk,Dairy,94537,3,Monthly,Damaged Product,3,73,Summer,Standard,Medium,Returned,24.44
19,Brisbane,Green,Australia,Cust2975,Mary Smith,15,Male,PayPal,No,Soda,Beverages,81333,1,Quarterly,Damaged Product,3,6,Summer,Standard,Medium,Returned,7.62
19,Brisbane,N/A,Australia,Cust3877,Sarah Johnson,20,Male,Cash,No,Cheese,Dairy,75271,5,Yearly,"",1,159,Autumn,Express,Small,Delivered,39.85
19,Brisbane,N/A,Australia,Cust5986,Emma Jackson,15,Male,Google Pay,Yes,Coffee,Beverages,25201,4,Quarterly,"",3,97,Autumn,Standard,Medium,Delivered,28.57
19,Brisbane,Red,Australia,Cust2612,John Brown,10,Female,Bank Transfer,Yes,Nuts,Snacks,86563,2,Weekly,Changed Mind,4,35,Autumn,Standard,Large,Returned,19.52
19,Brisbane,Red,Australia,Cust5247,Daniel Thomas,10,Female,Apple Pay,Yes,Pork,Meat,28392,5,Quarterly,"",5,186,Autumn,Shipped From Abroad,Medium,Delivered,41.37
19,Brisbane,White,Australia,Cust4116,Michael Johnson,5,Female,Google Pay,No,Yogurt,Dairy,62388,5,Weekly,"",5,141,Spring,Standard,Large,Delivered,29.75
19,Brisbane,White,Australia,Cust6134,Emma Smith,20,Female,Bank Transfer,No,Pork,Meat,78230,4,Weekly,Late Delivery,5,22,Winter,Express,Large,Returned,6.77
19,Brisbane,Yellow,Australia,Cust1550,David Anderson,0,Male,Cash,Yes,Soda,Beverages,60028,4,Monthly,Changed Mind,2,151,Spring,Shipped From Abroad,Large,Returned,37.86
19,Brisbane,Yellow,Australia,Cust5633,John Thomas,15,Female,Google Pay,No,Butter,Dairy,97246,8,Yearly,"",3,54,Spring,Express,Medium,Delivered,8
19,Chicago,N/A,USA,Cust4874,John Johnson,15,Male,Google Pay,No,Yogurt,Dairy,26106,4,Quarterly,Wrong Item,2,94,Spring,Express,Medium,Returned,27.66
19,Chicago,White,USA,Cust4924,Emma Brown,15,Male,Apple Pay,Yes,Pork,Meat,41355,10,Monthly,"",2,200,Spring,Express,Small,Delivered,23.52
19,Chicago,Yellow,USA,Cust5062,Daniel Taylor,5,Male,Credit Card,No,Soda,Beverages,34555,8,Yearly,Late Delivery,5,19,Autumn,Express,Medium,Returned,2.5
19,Hamburg,Green,Germany,Cust1673,Michael Taylor,20,Male,Google Pay,Yes,Chocolate,Snacks,55033,9,Yearly,"",4,265,Spring,Standard,Medium,Delivered,36.86
19,Hamburg,Green,Germany,Cust2220,David Anderson,15,Male,Apple Pay,Yes,Biscuits,Snacks,68774,3,Monthly,"",3,36,Summer,Shipped From Abroad,Large,Delivered,14.17
19,Hamburg,Green,Germany,Cust5636,Daniel Thomas,15,Female,Bank Transfer,Yes,Coffee,Beverages,70637,7,Weekly,"",1,10,Winter,Express,Small,Delivered,1.69
19,Hamburg,N/A,Germany,Cust6071,Olivia Johnson,20,Male,Cash,Yes,Milk,Dairy,93167,2,Quarterly,"",3,40,Winter,Express,Large,Delivered,25.26
19,Hamburg,Red,Germany,Cust1090,Daniel Anderson,5,Male,PayPal,Yes,Beef,Meat,77269,2,Monthly,"",2,77,Winter,Standard,Large,Delivered,40.75
19,Hamburg,Red,Germany,Cust2229,John Taylor,10,Female,Apple Pay,Yes,Bread,Bakery,45029,4,Quarterly,Changed Mind,1,115,Autumn,Shipped From Abroad,Medium,Returned,32.08
19,Hamburg,White,Germany,Cust3874,Mary Smith,15,Female,Bank Transfer,Yes,Onion,Vegetables,59724,3,Yearly,Quality Issue,1,6,Autumn,Standard,Large,Returned,2.24
19,Hamburg,Yellow,Germany,Cust4853,Mary Smith,0,Female,Credit Card,Yes,Spinach,Vegetables,93257,1,Monthly,"",1,47,Autumn,Express,Large,Delivered,47.21
19,Hamburg,Yellow,Germany,Cust6235,Michael Taylor,15,Male,Bank Transfer,No,Croissant,Bakery,75829,3,Weekly,Wrong Item,4,69,Spring,Shipped From Abroad,Small,Returned,26.93
19,Houston,Brown,USA,Cust5014,Sarah Johnson,10,Female,PayPal,No,Chips,Snacks,78286,7,Yearly,Wrong Item,2,137,Winter,Standard,Large,Returned,21.76
19,Houston,Green,USA,Cust2744,Emma Thomas,5,Female,Cash,No,Potato,Vegetables,34716,4,Monthly,"",4,121,Spring,Standard,Small,Delivered,31.97
19,Houston,N/A,USA,Cust5639,Emma Brown,5,Male,Google Pay,Yes,Biscuits,Snacks,82387,8,Monthly,Wrong Item,2,82,Winter,Standard,Medium,Returned,10.75
19,Houston,White,USA,Cust3799,Daniel Jackson,20,Male,Debit Card,Yes,Chocolate,Snacks,25269,8,Yearly,"",5,188,Spring,Express,Medium,Delivered,29.44
19,Houston,Yellow,USA,Cust6025,Emma Johnson,10,Female,Debit Card,Yes,Cake,Bakery,42387,8,Weekly,"",1,304,Summer,Shipped From Abroad,Small,Delivered,42.2
19,Liverpool,Green,UK,Cust3455,Mary Anderson,5,Male,Credit Card,Yes,Chicken,Meat,77481,8,Quarterly,"",3,220,Spring,Express,Medium,Delivered,29.01
19,Liverpool,Green,UK,Cust4782,Daniel Anderson,10,Male,Cash,Yes,Cheese,Dairy,14797,5,Weekly,"",5,177,Winter,Express,Large,Delivered,39.28
19,Liverpool,Red,UK,Cust2205,Michael Anderson,20,Female,Cash,Yes,Nuts,Snacks,28199,9,Quarterly,"",5,133,Summer,Shipped From Abroad,Large,Delivered,18.51
19,Liverpool,White,UK,Cust2918,David Smith,20,Female,Cash,No,Biscuits,Snacks,34747,5,Quarterly,"",4,58,Summer,Shipped From Abroad,Large,Delivered,14.42
19,London,Brown,UK,Cust2486,Olivia Anderson,20,Female,Apple Pay,Yes,Chicken,Meat,83915,5,Yearly,Changed Mind,5,44,Summer,Express,Small,Returned,10.99
19,London,Brown,UK,Cust2857,Sarah Taylor,5,Male,Cash,Yes,Carrot,Vegetables,23257,4,Yearly,"",4,98,Summer,Express,Large,Delivered,25.88
19,London,Red,UK,Cust3590,Emma Johnson,0,Female,Apple Pay,No,Potato,Vegetables,91251,3,Weekly,Damaged Product,1,95,Spring,Shipped From Abroad,Small,Returned,31.7
19,London,White,UK,Cust2982,John Thomas,20,Male,Debit Card,No,Coffee,Beverages,26288,9,Yearly,"",1,295,Spring,Express,Small,Delivered,41.03
19,London,White,UK,Cust4117,David Brown,20,Female,Google Pay,Yes,Chicken,Meat,74701,1,Yearly,"",3,4,Spring,Shipped From Abroad,Small,Delivered,5.03
19,London,White,UK,Cust6388,Emma Brown,20,Male,Credit Card,Yes,Cheese,Dairy,42903,2,Quarterly,"",5,4,Summer,Shipped From Abroad,Medium,Delivered,2.78
19,London,Yellow,UK,Cust5088,Mary Thomas,20,Female,Bank Transfer,Yes,Apple,Fruits,94314,9,Weekly,Damaged Product,1,31,Summer,Express,Large,Returned,4.27
19,Los Angeles,Brown,USA,Cust3090,Emma Taylor,20,Female,PayPal,Yes,Soda,Beverages,16830,4,Yearly,"",3,91,Autumn,Standard,Large,Delivered,28.57
19,Los Angeles,Red,USA,Cust4034,Daniel Anderson,5,Female,Debit Card,Yes,Milk,Dairy,38100,8,Quarterly,"",4,12,Spring,Shipped From Abroad,Small,Delivered,1.52
19,Los Angeles,White,USA,Cust2485,Olivia Smith,20,Female,Debit Card,No,Beef,Meat,83620,3,Weekly,"",4,46,Spring,Shipped From Abroad,Small,Delivered,19.33
19,Los Angeles,Yellow,USA,Cust5005,Emma Anderson,0,Male,Google Pay,Yes,Fish,Meat,53161,1,Yearly,"",1,35,Autumn,Standard,Medium,Delivered,34.9
19,Manchester,Green,UK,Cust1245,Mary Jackson,5,Female,Debit Card,No,Butter,Dairy,60691,2,Quarterly,Quality Issue,3,50,Autumn,Express,Small,Returned,26.31
19,Manchester,Green,UK,Cust3770,Emma Brown,5,Male,PayPal,Yes,Yogurt,Dairy,42502,1,Monthly,Late Delivery,4,25,Winter,Standard,Medium,Returned,26.24
19,Manchester,N/A,UK,Cust3862,Michael Johnson,20,Female,Debit Card,No,Biscuits,Snacks,68329,7,Quarterly,"",3,61,Summer,Express,Large,Delivered,10.83
19,Manchester,White,UK,Cust4794,Mary Brown,15,Female,Credit Card,Yes,Tea,Beverages,67270,7,Weekly,Changed Mind,3,38,Winter,Standard,Small,Returned,6.36
19,Manchester,Yellow,UK,Cust2776,Emma Anderson,0,Male,Credit Card,No,Potato,Vegetables,43066,3,Weekly,Damaged Product,3,67,Spring,Shipped From Abroad,Medium,Returned,22.26
