customer-id,age,gender,product,product-category,size,color,season,review-rate,shipping-mode,discount-applied,promo-code,previous-purchaser,payment-method,purchase-frequency,order-date,shipped-date,delivery-date,customer-name,country,city,quantity,unit-price,sales-price,status,reason
CUST1053,58,Male,Biscuits,Snacks,Large,Red,Summer,2,Express,15,53960,Yes,Cash,Monthly,51:04.3,51:04.3,51:04.3,Michael Johnson,Canada,Vancouver,1,37.46,31.84,Returned,Damaged Product
CUST1054,61,Male,Onion,Vegetables,Medium,N/A,Winter,2,Shipped from Abroad,0,44343,No,Debit Card,Yearly,51:04.3,51:04.3,51:04.3,John Anderson,Germany,Munich,6,16.22,97.32,Returned,Quality Issue
CUST1055,36,Female,Coffee,Beverages,Large,Green,Summer,4,Express,10,65043,No,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Daniel Smith,Germany,Hamburg,4,14.99,53.96,Delivered,
CUST1056,44,Male,Chips,Snacks,Medium,White,Spring,4,Shipped from Abroad,0,50297,Yes,Cash,Weekly,51:04.3,51:04.3,51:04.3,Michael Smith,Germany,Hamburg,3,4.1,12.3,Returned,Wrong Item
CUST1057,37,Male,Beef,Meat,Small,Brown,Autumn,2,Express,20,17739,Yes,PayPal,Quarterly,51:04.3,51:04.3,51:04.3,Michael Taylor,Australia,Melbourne,10,12.91,103.28,Delivered,
CUST1058,46,Male,Yogurt,Dairy,Large,Brown,Summer,5,Shipped from Abroad,20,87606,Yes,PayPal,Yearly,51:04.3,51:04.3,51:04.3,Mary Smith,Australia,Brisbane,,28.84,,Returned,Quality Issue
CUST1059,20,Male,Muffin,Bakery,Small,White,Summer,2,Shipped from Abroad,20,20141,No,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Olivia Smith,Australia,Brisbane,3,37.61,90.26,Delivered,
CUST1060,25,Male,Spinach,Vegetables,Medium,N/A,Autumn,4,Shipped from Abroad,15,71063,Yes,Cash,Quarterly,51:04.3,51:04.3,51:04.3,Sarah Anderson,USA,New York,8,26.48,180.06,Delivered,
CUST1061,68,Male,Banana,Fruits,Medium,White,Autumn,2,Standard,0,79979,Yes,Debit Card,Weekly,51:04.3,51:04.3,51:04.3,Olivia Jackson,UK,Manchester,2,16,32,Delivered,
CUST1062,53,Female,Biscuits,Snacks,Medium,Green,Spring,4,Shipped from Abroad,15,21179,Yes,Apple Pay,Yearly,51:04.3,51:04.3,51:04.3,David Brown,USA,New York,4,32.63,110.94,Delivered,
CUST1063,26,Female,Bread,Bakery,Small,Red,Spring,3,Shipped from Abroad,20,15039,No,Debit Card,Quarterly,51:04.3,51:04.3,51:04.3,Michael Smith,Germany,Berlin,3,7.91,18.98,Returned,Damaged Product
CUST1064,70,Male,Cake,Bakery,Medium,Red,Winter,3,Standard,10,28963,No,PayPal,Monthly,51:04.3,51:04.3,51:04.3,Emma Brown,Australia,Melbourne,7,3.57,22.49,Delivered,
CUST1065,57,Male,Milk,Dairy,Medium,N/A,Winter,5,Standard,0,39050,Yes,Cash,Yearly,51:04.3,51:04.3,51:04.3,Emma Brown,Germany,Berlin,2,37.52,75.04,Returned,Changed Mind
CUST1066,64,Male,Biscuits,Snacks,Small,Brown,Summer,2,Express,0,46392,No,Apple Pay,Yearly,51:04.3,51:04.3,51:04.3,Emma Jackson,Germany,Berlin,2,37.95,75.9,Delivered,
CUST1067,40,Female,Chips,Snacks,Small,White,Autumn,1,Standard,10,89725,No,Debit Card,Quarterly,51:04.3,51:04.3,51:04.3,Michael Johnson,UK,London,6,27.82,150.23,Returned,Late Delivery
CUST1068,61,Male,Croissant,Bakery,Medium,Brown,Summer,,Shipped from Abroad,0,86925,Yes,Apple Pay,Quarterly,51:04.3,51:04.3,51:04.3,Emma Thomas,Canada,Montreal,10,9.07,90.7,Returned,Late Delivery
CUST1069,37,Male,Soda,Beverages,Large,Red,Spring,4,Express,0,93104,Yes,Credit Card,Weekly,51:04.3,51:04.3,51:04.3,Emma Taylor,Australia,Melbourne,8,29.91,239.28,Returned,Late Delivery
CUST1070,58,Female,Cake,Bakery,Large,Green,Summer,5,Standard,20,78257,No,Google Pay,Monthly,51:04.3,51:04.3,51:04.3,Olivia Jackson,USA,Houston,8,10.36,66.3,Delivered,
CUST1071,44,Female,Apple,Fruits,Small,N/A,Winter,2,Shipped from Abroad,10,34083,Yes,PayPal,Weekly,51:04.3,51:04.3,51:04.3,Mary Taylor,USA,Chicago,7,,,Returned,Quality Issue
CUST1072,57,Male,Banana,Fruits,Medium,N/A,Winter,3,Standard,15,87661,No,Google Pay,Yearly,51:04.3,51:04.3,51:04.3,Daniel Jackson,Australia,Brisbane,8,33.91,230.59,Delivered,
CUST1073,23,Male,Bread,Bakery,Large,N/A,Summer,2,Express,15,88591,No,Cash,Yearly,51:04.3,51:04.3,51:04.3,Michael Johnson,UK,London,8,18.14,123.35,Delivered,
CUST1074,57,Male,Grapes,Fruits,Large,Yellow,Winter,,Express,15,13440,Yes,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Emma Brown,Canada,Toronto,6,23.69,120.82,Returned,Changed Mind
CUST1075,33,Male,Milk,Dairy,Small,N/A,Autumn,5,Shipped from Abroad,15,46857,Yes,PayPal,Monthly,51:04.3,51:04.3,51:04.3,Daniel Anderson,Canada,Toronto,10,46.33,393.8,Delivered,
CUST1076,25,Female,Pork,Meat,Large,Red,Summer,5,Shipped from Abroad,15,17326,Yes,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Emma Smith,Australia,Melbourne,5,43.36,184.28,Delivered,
CUST1077,37,Female,Nuts,Snacks,Large,White,Autumn,3,Express,20,56609,Yes,PayPal,Weekly,51:04.3,51:04.3,51:04.3,Emma Taylor,UK,London,5,26.52,106.08,Returned,Wrong Item
CUST1078,70,Female,Bread,Bakery,Medium,Brown,Summer,1,Express,5,54639,No,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Sarah Smith,Canada,Montreal,3,18.97,54.06,Delivered,
CUST1079,61,Male,Chocolate,Snacks,Small,Brown,Winter,4,Standard,15,49185,Yes,PayPal,Weekly,51:04.3,51:04.3,51:04.3,Sarah Jackson,USA,Los Angeles,9,48.33,369.72,Returned,Wrong Item
CUST1080,44,Female,Grapes,Fruits,Small,Brown,Summer,3,Shipped from Abroad,15,25730,No,Apple Pay,Yearly,51:04.3,51:04.3,51:04.3,John Brown,Germany,Munich,2,6.37,10.83,Delivered,
CUST1081,62,Male,Grapes,Fruits,Medium,N/A,Summer,2,Express,15,63494,No,PayPal,Yearly,51:04.3,51:04.3,51:04.3,Michael Johnson,Australia,Sydney,9,31.53,241.2,Delivered,
CUST1082,18,Female,Chocolate,Snacks,Medium,Yellow,Winter,2,Standard,5,37714,No,Cash,Monthly,51:04.3,51:04.3,51:04.3,Michael Jackson,USA,Los Angeles,6,11.71,66.75,Returned,Late Delivery
CUST1083,67,Male,Soda,Beverages,Medium,Yellow,Autumn,,Express,15,80510,No,Apple Pay,Yearly,51:04.3,51:04.3,51:04.3,Mary Brown,Australia,Brisbane,4,29.37,99.86,Delivered,
CUST1084,63,Male,Apple,Fruits,Medium,Yellow,Autumn,3,Express,15,56083,No,Bank Transfer,Weekly,51:04.3,51:04.3,51:04.3,Daniel Jackson,Australia,Melbourne,2,14.77,25.11,Delivered,
CUST1085,54,Female,Yogurt,Dairy,Large,White,Summer,2,Standard,20,60328,Yes,Cash,Quarterly,51:04.3,51:04.3,51:04.3,David Anderson,UK,Liverpool,6,9.12,43.78,Returned,Damaged Product
CUST1086,30,Male,Potato,Vegetables,Large,White,Winter,3,Shipped from Abroad,15,97088,Yes,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Emma Thomas,Canada,Vancouver,4,36.81,125.15,Returned,Wrong Item
CUST1087,64,Male,Juice,Beverages,Medium,N/A,Summer,3,Shipped from Abroad,15,41164,No,Bank Transfer,Weekly,51:04.3,51:04.3,51:04.3,John Johnson,Canada,Toronto,6,13.39,68.29,Returned,Late Delivery
CUST1088,55,Male,Chips,Snacks,Large,Yellow,Summer,5,Shipped from Abroad,15,55437,No,Bank Transfer,Monthly,51:04.3,51:04.3,51:04.3,Olivia Jackson,Canada,Vancouver,8,2.43,16.52,Delivered,
CUST1089,38,Female,Onion,Vegetables,Large,Green,Autumn,3,Standard,5,79639,Yes,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Mary Anderson,Canada,Vancouver,1,34.11,32.4,Delivered,
CUST1090,19,Male,Beef,Meat,Large,Red,Winter,2,Standard,5,77269,Yes,PayPal,Monthly,51:04.3,51:04.3,51:04.3,Daniel Anderson,Germany,Hamburg,2,40.75,77.42,Delivered,
CUST1091,56,Male,Cheese,Dairy,Large,Yellow,Spring,3,Standard,10,46272,No,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Sarah Brown,Australia,Sydney,7,13.32,83.92,Returned,Damaged Product
CUST1092,29,Male,Chicken,Meat,Medium,Green,Autumn,2,Express,5,10866,Yes,Apple Pay,Quarterly,51:04.3,51:04.3,51:04.3,Olivia Jackson,Australia,Brisbane,10,25.76,244.72,Returned,Late Delivery
CUST1093,39,Male,Chicken,Meat,Small,Brown,Summer,3,Express,0,81337,Yes,Bank Transfer,Monthly,51:04.3,51:04.3,51:04.3,Sarah Smith,Germany,Munich,1,15.93,15.93,Returned,Damaged Product
CUST1094,58,Male,Carrot,Vegetables,Small,White,Spring,1,Shipped from Abroad,5,51897,Yes,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Mary Taylor,USA,Chicago,2,14.32,27.21,Returned,Changed Mind
CUST1095,69,Male,Grapes,Fruits,Large,Green,Spring,4,Express,0,44489,Yes,Credit Card,Yearly,51:04.3,51:04.3,51:04.3,Sarah Thomas,USA,Los Angeles,1,44.16,44.16,Returned,Late Delivery
CUST1096,27,Female,Grapes,Fruits,Medium,White,Spring,1,Shipped from Abroad,15,60910,No,Apple Pay,Quarterly,51:04.3,51:04.3,51:04.3,Mary Anderson,Australia,Melbourne,9,10.88,83.23,Returned,Wrong Item
CUST1097,55,Female,Banana,Fruits,Small,N/A,Winter,4,Shipped from Abroad,0,20784,No,Apple Pay,Weekly,51:04.3,51:04.3,51:04.3,Sarah Smith,USA,Los Angeles,3,38.82,116.46,Returned,Damaged Product
CUST1098,51,Male,Muffin,Bakery,Small,Yellow,Winter,3,Express,15,83642,Yes,Cash,Weekly,51:04.3,51:04.3,51:04.3,Olivia Jackson,Australia,Melbourne,10,37.56,319.26,Delivered,
CUST1099,46,Female,Chips,Snacks,Small,White,Summer,1,Express,0,80472,Yes,Credit Card,Quarterly,51:04.3,51:04.3,51:04.3,Emma Smith,Germany,Hamburg,5,10.66,53.3,Delivered,
CUST1100,48,Female,Croissant,Bakery,Small,N/A,Summer,4,Standard,20,62804,No,Debit Card,Weekly,51:04.3,51:04.3,51:04.3,John Jackson,Canada,Vancouver,10,26.8,214.4,Delivered,
CUST1101,41,Male,Milk,Dairy,Medium,N/A,Summer,2,Standard,0,35509,No,Cash,Yearly,51:04.3,51:04.3,51:04.3,Emma Smith,USA,Chicago,4,18.54,74.16,Delivered,
CUST1102,23,Male,Soda,Beverages,Small,Red,Autumn,2,Express,5,83898,No,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,Emma Thomas,Germany,Berlin,6,,,Delivered,
CUST1103,46,Male,Orange,Fruits,Large,Green,Summer,4,Standard,15,88495,Yes,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,Michael Johnson,Germany,Munich,2,48.42,82.31,Returned,Changed Mind
CUST1104,65,Female,Tea,Beverages,Small,Brown,Autumn,2,Express,10,13045,Yes,PayPal,Quarterly,51:04.3,51:04.3,51:04.3,Michael Jackson,Canada,Vancouver,1,35.39,31.85,Delivered,
CUST1105,30,Female,Milk,Dairy,Small,Brown,Autumn,1,Shipped from Abroad,0,42360,Yes,Cash,Weekly,51:04.3,51:04.3,51:04.3,Emma Jackson,Canada,Vancouver,7,21.4,149.8,Delivered,
CUST1106,33,Female,Milk,Dairy,Medium,Brown,Summer,4,Express,20,55289,Yes,Apple Pay,Yearly,51:04.3,51:04.3,51:04.3,Emma Thomas,UK,Liverpool,9,30.78,221.62,Returned,Late Delivery
CUST1107,35,Female,Croissant,Bakery,Small,Green,Spring,5,Shipped from Abroad,15,62241,Yes,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,Sarah Johnson,Australia,Brisbane,5,41.66,177.05,Delivered,
CUST1108,45,Female,Tomato,Vegetables,Medium,Red,Spring,3,Express,20,48606,No,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Daniel Smith,Canada,Vancouver,6,7.27,34.9,Delivered,
CUST1109,41,Male,Cake,Bakery,Small,Green,Spring,3,Express,15,89428,Yes,Debit Card,Quarterly,51:04.3,51:04.3,51:04.3,Emma Anderson,UK,Liverpool,5,33.36,141.78,Returned,Quality Issue
CUST1110,51,Male,Juice,Beverages,Medium,Green,Winter,2,Express,5,88910,No,Cash,Quarterly,51:04.3,51:04.3,51:04.3,Michael Taylor,Canada,Vancouver,2,17.65,33.53,Delivered,
CUST1111,18,Female,Onion,Vegetables,Small,Green,Autumn,5,Standard,5,67759,Yes,Credit Card,Yearly,51:04.3,51:04.3,51:04.3,Mary Jackson,Canada,Montreal,10,32.58,309.51,Delivered,
CUST1112,68,Female,Spinach,Vegetables,Small,Green,Autumn,,Express,5,66298,No,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,Michael Smith,Australia,Melbourne,6,40.21,229.2,Delivered,
CUST1113,66,Female,Orange,Fruits,Small,Green,Winter,5,Standard,20,87003,Yes,Credit Card,Yearly,51:04.3,51:04.3,51:04.3,Olivia Johnson,USA,Chicago,6,30.31,145.49,Delivered,
CUST1114,65,Male,Croissant,Bakery,Medium,White,Winter,4,Standard,10,28423,No,PayPal,Quarterly,51:04.3,51:04.3,51:04.3,Michael Brown,USA,Chicago,10,43.35,390.15,Delivered,
CUST1115,37,Female,Croissant,Bakery,Small,Red,Summer,,Standard,20,46108,Yes,Debit Card,Quarterly,51:04.3,51:04.3,51:04.3,Sarah Anderson,Australia,Brisbane,4,22.19,71.01,Delivered,
CUST1116,19,Male,Pork,Meat,Medium,Yellow,Spring,4,Shipped from Abroad,15,80173,Yes,Debit Card,Quarterly,51:04.3,51:04.3,51:04.3,Emma Jackson,Canada,Toronto,,9.61,,Delivered,
CUST1117,18,Female,Spinach,Vegetables,Large,Brown,Summer,5,Express,10,42059,No,Bank Transfer,Weekly,51:04.3,51:04.3,51:04.3,David Thomas,UK,London,8,18.08,130.18,Delivered,
CUST1118,34,Female,Yogurt,Dairy,Medium,White,Winter,2,Shipped from Abroad,5,53172,No,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,John Brown,UK,London,1,20.18,19.17,Returned,Late Delivery
CUST1119,19,Male,Cheese,Dairy,Large,N/A,Autumn,3,Express,5,38197,No,Google Pay,Monthly,51:04.3,51:04.3,51:04.3,Mary Taylor,Germany,Munich,4,40.53,154.01,Returned,Changed Mind
CUST1120,69,Female,Grapes,Fruits,Medium,Brown,Spring,3,Standard,5,16089,Yes,PayPal,Quarterly,51:04.3,51:04.3,51:04.3,Daniel Smith,USA,Chicago,3,31,88.35,Returned,Changed Mind
CUST1121,55,Female,Potato,Vegetables,Small,Brown,Autumn,4,Shipped from Abroad,5,61945,No,Bank Transfer,Quarterly,51:04.3,51:04.3,51:04.3,Michael Anderson,UK,London,5,29.47,139.98,Delivered,
CUST1122,39,Male,Orange,Fruits,Small,Yellow,Autumn,5,Standard,20,85967,No,Google Pay,Monthly,51:04.3,51:04.3,51:04.3,Emma Jackson,USA,Chicago,7,38,212.8,Returned,Damaged Product
CUST1123,38,Male,Milk,Dairy,Medium,Red,Winter,2,Express,5,16339,No,Debit Card,Yearly,51:04.3,51:04.3,51:04.3,Olivia Anderson,Germany,Hamburg,8,19.32,146.83,Returned,Damaged Product
